profile_outcome,episode_count,success_rate,collision_rate,clearance_margin_mean,clearance_margin_p10,return_mean,steps_mean,control_smoothness,spin_or_unstable_rate,failure_rate,all_selected_metrics_finite,task_family,source_family
L0_current_masked::collision_failure,10,0.0,1.0,-0.08226896101733112,-0.14374466968381722,20.955990219492605,70.7,0.0018394075450487435,0.0,0.0,True,T4,t4_actuator_delay_response
L0_current_masked::off_track_noncollision_noncompletion,60,0.0,0.0,9.587351010236556,1.1049673631543666,23.33592545618047,88.65,0.0015651877513543392,0.0,0.0,True,T4,capability_step_up
L0_current_masked::success_obstacle_pass,2,1.0,0.0,1.2160898184778381,0.7562936746921423,51.71130461615221,109.0,0.0013091729197185487,0.0,0.0,True,T4,capability_step_down
L1_one_step::collision_failure,13,0.0,1.0,-0.07002604812252662,-0.15175578195361383,18.25489196961402,71.3076923076923,0.0018551614619075106,0.0,0.0,True,T4,capability_step_up
L1_one_step::off_track_noncollision_noncompletion,58,0.0,0.0,11.04255244305269,2.174623308753413,26.05385336604912,89.12068965517241,0.0016255651195212428,0.0,0.0,True,T4,actuator_delay_step
L1_one_step::success_obstacle_pass,1,1.0,0.0,0.44264977909756165,0.44264977909756165,49.22922291454435,83.0,0.001726908260025084,0.0,0.0,True,T4,t4_capability_step_temporal
L2_window_100::collision_failure,2,0.0,1.0,-0.061996038196716174,-0.06580875026928483,5.14001677499852,55.5,0.002590838586911559,0.0,0.0,True,T5,t5_boundary_axis_retarget
L2_window_100::off_track_noncollision_noncompletion,70,0.0,0.0,11.450779858422116,2.593261578458036,13.246311792077588,64.05714285714286,0.0028175245804179993,0.0,0.0,True,T4,capability_step_up
L2_window_100_current_tiled::off_track_noncollision_noncompletion,72,0.0,0.0,11.558490604209418,2.5056364920798933,13.923076289558407,63.75,0.0033541062601014143,0.0,0.0,True,T4,capability_step_up
L2_window_13::collision_failure,1,0.0,1.0,-0.007401842638477429,-0.007401842638477429,-8.570070483771843,54.0,0.0034045653883367777,0.0,0.0,True,T5,drive_loss_proxy
L2_window_13::off_track_noncollision_noncompletion,71,0.0,0.0,11.409326957825813,2.189654772367411,14.632022787456137,65.85915492957747,0.002771991355882459,0.0,0.0,True,T4,capability_step_up
L2_window_13_current_tiled::off_track_noncollision_noncompletion,72,0.0,0.0,12.848303280759199,2.772612082540586,12.869325969679233,63.888888888888886,0.0033579246535535073,0.0,0.0,True,T4,capability_step_up
L2_window_25::off_track_noncollision_noncompletion,72,0.0,0.0,11.8847954734454,1.961914014714181,13.681543558465314,65.08333333333333,0.0028222859610751686,0.0,0.0,True,T4,capability_step_up
L2_window_25_current_tiled::off_track_noncollision_noncompletion,72,0.0,0.0,12.411887844618454,2.952449406269436,13.503403134684184,63.583333333333336,0.0033707217500907266,0.0,0.0,True,T4,capability_step_up
L2_window_50::off_track_noncollision_noncompletion,72,0.0,0.0,12.286197160219963,3.116957546886233,13.278894633275943,65.11111111111111,0.0027827659376069075,0.0,0.0,True,T4,capability_step_up
L2_window_50_current_tiled::off_track_noncollision_noncompletion,72,0.0,0.0,11.551271533203515,4.116030274706325,13.410391296946381,64.84722222222223,0.0033132099164908547,0.0,0.0,True,T4,capability_step_up
L3_online_gru::collision_failure,7,0.0,1.0,-0.06269702394977464,-0.10146317212596143,25.936355722543272,66.57142857142857,0.0016425682697445154,0.0,0.0,True,T4,t4_staged_warmup_capability
L3_online_gru::off_track_noncollision_noncompletion,53,0.0,0.0,9.502089305080842,2.2776857919980364,41.32298602223579,88.9245283018868,0.001368764458435043,0.03773584905660377,0.0,True,T4,actuator_delay_step
L3_online_gru::success_obstacle_pass,12,1.0,0.0,3.049718520012202,0.7277542073131631,65.27874044146328,95.83333333333333,0.0013513108715415,0.08333333333333333,0.0,True,T4,capability_step_up
L3_reset_control_corrected::collision_failure,5,0.0,1.0,-0.07093432532791426,-0.11813571599236053,29.63056203129721,69.0,0.0009603016660548747,0.0,0.0,True,T4,t4_actuator_delay_response
L3_reset_control_corrected::off_track_noncollision_noncompletion,50,0.0,0.0,10.09338562736865,2.657263285098758,39.773064571823156,93.38,0.0008048585150390863,0.0,0.0,True,T4,capability_step_up
L3_reset_control_corrected::success_obstacle_pass,17,1.0,0.0,2.6311918716553615,0.7882996364239016,74.7169986438177,90.76470588235294,0.0008663264110081774,0.058823529411764705,0.0,True,T4,t4_staged_warmup_capability
